parameter,term,estimate,std.error,statistic,p.value
Omega,(Intercept),1.1531316570114885,0.01488743282307811,77.45671605811943,1.6245515896896444e-158
Omega,Temperature,0.08957300470832473,0.00903084030062673,9.918568120633077,2.5486778921883633e-19
Omega,Oxygen,0.004204555421098834,3.3890579858656013e-4,12.406265807886276,5.520059424141806e-27
Omega,Temperature:Oxygen,4.820636586631111e-4,7.468810461889403e-5,6.454356568866018,7.161605935744582e-10
pH,(Intercept),7.792409489995049,0.004437568115188136,1756.0089868422629,0
pH,Temperature,0.012974600314895368,0.002691865645854942,4.819928637550783,2.7206891424642014e-6
pH,Oxygen,0.0019750014641722754,1.0101926797807327e-4,19.550740207313314,1.6463933603637622e-49
pH,Temperature:Oxygen,-4.1307257709951174e-5,2.2262639608815582e-5,-1.855451933632986,0.06490685438499857
DIC,(Intercept),2163.9470809843847,1.706074357443782,1268.3779411740502,0
DIC,Density,46.64771363847019,3.974882079525365,11.735622014739196,7.035602369366286e-25
DIC,Oxygen,-0.7469120636558554,0.04130360040522859,-18.083461401135004,5.564338271323324e-45
DIC,Density:Oxygen,-0.0069757387443507134,0.030625650416336338,-0.2277743868136663,0.8200391135225102
TA,(Intercept),2251.26979846072,0.5239527879405017,4296.703539473038,0
TA,Temperature,-0.7700345475610091,0.2342629056983433,-3.287052831798179,0.0011816048527418588
TA,Salinity,57.769431131283014,2.41197155085968,23.951124593775873,1.0012498506827906e-62
TA,Temperature:Salinity,-5.770978579605181,0.8776427780116247,-6.575543859290713,3.5914971138018497e-10
